name	run_id	tier	status	clean_bpb	shipped_bpb	export_gap_bpb	note
u5k_12x608_exactcopy_gate	debug_u5k_12x608_transplant_eval0_exactcopy	local	kept	2.1746	2.17331566	-0.00128434	exact-copying shared SentencePiece rows turned the same larger-tokenizer branch from clearly bad into an alive starting point
u5k_12x608_exactcopy_lowlr40	lab_u5k_12x608_kv2_transplant_lowlr40_fcproj_exactcopy	local	kept	2.1087	2.10387409	-0.00482591	first careful continuation on the corrected tokenizer transfer became the best measured tokenizer-transfer challenger so far
u5k_12x608_exactcopy_continue40_ultralow	lab_u5k_12x608_kv2_transplant_continue40_ultralow_exactcopy	local	discarded	2.1093	2.10392536	-0.00537464	second continuation was effectively flat to slightly worse, so this exact u5k exploit style has already plateaued
sp1024_10x560_export_first_hybrid_int8aware_block4attn_keptfp16_80	autoresearch_sp1024_10x560_hybrid_int8aware_block4attn_keptfp16_80	local	kept	2.1093	2.27195757	0.16265757	hybrid int8-aware block4 attn.proj plus the proven kept-fp16 recovery corridor bought a new best local shipped point, but only by a tiny sub-threshold margin; treat it as another saturation keep, not a new continuation line
sp1024_10x560_export_first_hybrid_int8aware_block4proj_keptfp16_80	autoresearch_sp1024_10x560_hybrid_int8aware_block4proj_keptfp16_80	local	kept	2.1104	2.27221636	0.16181636	hybrid int8-aware block4 mlp.proj plus the proven kept-fp16 recovery corridor bought a new best local shipped point, but only by a clearly sub-threshold margin; treat this as another near-saturation keep rather than a new continuation chain
sp1024_10x560_export_first_int8aware_block4proj120	autoresearch_sp1024_10x560_keep_anchor_int8aware_block4proj120	local	discarded	2.1114	2.27338678	0.16198678	pure block4 mlp.proj int8-aware recovery improved clean slightly but regressed shipped relative to the current kept anchor, so isolated int8-aware tuning on that tensor is not enough on its own
sp1024_10x560_export_first_keptfp16_recovery120_continue80b	autoresearch_sp1024_10x560_maxtrain_projhi_attnhi_continue200_ultralowlr_continue120_microtail_continue120_microtail_keptfp16_recovery120_continue80_keptfp16_continue80_keptfp16	local	kept	2.1124	2.27250127	0.16010127	third fp16-kept recovery tail still improved shipped, but only by a sub-threshold amount; treat as the last meaningful point on this continuation line and avoid infinite micro-tail chaining
sp1024_10x560_export_first_keptfp16_recovery120_continue80	autoresearch_sp1024_10x560_maxtrain_projhi_attnhi_continue200_ultralowlr_continue120_microtail_continue120_microtail_keptfp16_recovery120_continue80_keptfp16	local	kept	2.1145	2.27347403	0.15897403	second fp16-kept recovery tail improved shipped again on the same restricted parameter set; fixed export sweep reconfirmed projhi_attnhi_fp16 as best on the new checkpoint
sp1024_10x560_export_first_keptfp16_recovery120	autoresearch_sp1024_10x560_maxtrain_projhi_attnhi_continue200_ultralowlr_continue120_microtail_continue120_microtail_keptfp16_recovery120	local	kept	2.1175	2.27454972	0.15704972	targeted recovery tail on the discarded cleaner checkpoint improved shipped again by training only the tensors already kept in fp16; fixed export sweep reconfirmed projhi_attnhi_fp16 as best on the new checkpoint
autoresearch_sp1024_10x560_maxtrain_projhi_attnhi_continue200_ultralowlr_continue120_microtail_continue120_microtail	autoresearch_sp1024_10x560_maxtrain_projhi_attnhi_continue200_ultralowlr_continue120_microtail_continue120_microtail	local	discarded	2.1267	2.28205890	0.15535890	clean improved again but shipped only moved by noise-level amount while export gap widened; do not promote this over the previous microtail anchor
sp1024_10x560_export_first_continue120_microtail	autoresearch_sp1024_10x560_maxtrain_projhi_attnhi_continue200_ultralowlr_continue120_microtail	local	kept	2.1611	2.28212032	0.12102032	fourth continuation tail kept improving shipped bpb; fixed export sweep again confirmed projhi_attnhi_fp16 remains best on the stronger checkpoint
sp1024_10x560_export_first_continue200_ultralowlr	autoresearch_sp1024_10x560_maxtrain_projhi_attnhi_continue200_ultralowlr	local	kept	2.2203	2.31488630	0.09458630	third continuation tail on the same 10x560 winner kept compounding gains; checkpoint-specific export sweep reconfirmed projhi_attnhi_fp16 as best
sp1024_10x560_export_first	autoresearch_sp1024_10x560_maxtrain_projhi_attnhi_fp16	local	kept	2.5724	2.65395691	0.08155691	first real training-side improvement on the 10x560 path; export sweep confirmed projhi_attnhi_fp16 stays best
sp1024_10x560_export_first_continue120	autoresearch_sp1024_10x560_maxtrain_projhi_attnhi_continue120	local	kept	2.4792	2.52053662	0.04133662	first low-LR continuation tail on the new 10x560 winner; very large clean and shipped gain with the same export winner
sp1024_10x560_export_first_continue80_lowlr	autoresearch_sp1024_10x560_maxtrain_projhi_attnhi_continue80_lowlr	local	kept	2.3821	2.43972002	0.05762002	second lower-LR continuation tail kept improving shipped bpb; export sweep again confirmed projhi_attnhi_fp16 stays best
seeker_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_longtail_fcproj_top5_attn_top5_fp16	local_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_longtail_fcproj_top5_attn_top5_fp16	local	discarded	2.5875	2.77375853	0.18625853	worse shipped than 10x560 export-first despite slightly faster training
seeker_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_longtail_fchi_top4_attn_top4_fp16	local_sp1024_bpe_sp_10x544_kv2_export_eval_fchi_top4_attn_top4_fp16	local	discarded	2.5875	2.75669185	0.16919185	export-only eval on same raw 10x544 checkpoint still behind 10x560 export-first
seeker_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_longtail_fcproj_top4_attn_top4_fp16	local_sp1024_bpe_sp_10x544_kv2_export_eval_fcproj_top4_attn_top4_fp16	local	discarded	2.5875	2.75669496	0.16919496	export-only eval on same raw 10x544 checkpoint still behind 10x560 export-first
seeker_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_maxtrain_fcproj_top5_attn_top5_fp16	local_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_maxtrain_fcproj_top5_attn_top5_fp16	local	kept	2.5746	2.74351142	0.16891142	best measured 10x544 training recipe so far but still behind 10x560 export-first
seeker_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_maxtrain_fchi_top4_attn_top4_fp16	local_sp1024_bpe_sp_10x544_kv2_export_eval_maxtrain_fchi_top4_attn_top4_fp16	local	discarded	2.5746	2.72703829	0.15243829	best measured 10x544 shipped policy so far but still behind 10x560 export-first
seeker_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_maxtrain_fchi_attnhi_fp16	local_sp1024_bpe_sp_10x544_kv2_export_eval_maxtrain_fchi_attnhi_fp16	local	discarded	2.5746	2.74350945	0.16890945	fc-only int4 plus upper attn fp16 on maxtrain raw checkpoint gave no gain over fcproj_top5
seeker_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_longtail_fchi_attnhi_fp16	local_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_longtail_fchi_attnhi_export_eval	local	discarded	2.5875	2.77375740	0.18625740	export-only eval on same raw 10x544 longtail checkpoint matched the bad top5 policy
seeker_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_longtail_fcproj_attnhi_fp16	local_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_longtail_fcproj_attnhi_export_eval	local	discarded	2.5875	2.77375853	0.18625853	export-only eval on same raw 10x544 longtail checkpoint gave no gain over fcproj_top5
seeker_sp1024_bpe_sp_10x560_kv2_throughput_816k_896ctx_stable_muon97_compiled_longtail_fchi_top4_attn_top4_fp16	local_sp1024_bpe_sp_10x560_kv2_export_eval_fchi_top4_attn_top4_fp16	local	discarded	2.5858	2.78814863	0.20234863	top offline 10x560 export policy was worse than measured projhi_attnhi on the real 10x560 raw checkpoint
seeker_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_maxtrain_fcproj_top4_attn_top4_fp16	local_sp1024_bpe_sp_10x544_kv2_export_eval_maxtrain_fcproj_top4_attn_top4	local	discarded	2.5746	2.72704111	0.15244111	matches maxtrain fchi_top4 result and still trails 10x560 export-first
seeker_sp1024_bpe_sp_10x560_kv2_throughput_816k_896ctx_stable_muon97_compiled_longtail_fchi_top4_attn_top4_fp16	local_sp1024_bpe_sp_10x560_kv2_export_eval_fchi_top4_attn_top4_fp16	local	discarded	2.5858	2.78814863	0.20234863	top offline 10x560 export policy was worse than measured projhi_attnhi on the same raw checkpoint
seeker_sp1024_bpe_sp_10x544_kv2_throughput_832k_896ctx_stable_muon97_compiled_maxtrain_fcproj_top4_attn_top4_fp16	local_sp1024_bpe_sp_10x544_kv2_export_eval_maxtrain_fcproj_top4_attn_top4	local	discarded	2.5746	2.72704111	0.15244111	maxtrain fcproj_top4 matched the existing fchi_top4 shipped point and stayed behind 10x560 export-first
sp1024_12x544_share6_scratch	lab_sp1024_12x544_kv2_share6_896ctx_modern_m4	local	kept	2.5675	2.56969116	0.00219116	shared-depth scratch branch is not globally competitive yet, but it established a new legal family with a near-zero export gap under proj_top6_attn_top6_fp16
sp1024_12x544_share6_continue120	lab_sp1024_12x544_kv2_share6_continue120_m4	local	kept	2.4793	2.48159932	0.00229932	short low-LR continuation materially improved the shared-depth branch while preserving the same nearly lossless exporter
sp1024_12x560_share6_scratch	lab_sp1024_12x560_kv2_share6_896ctx_modern_m4	local	kept	2.5628	2.56620786	0.00340786	wider shared-depth scratch slightly beat the smaller scratch point while preserving the same exporter, so the width-up branch earned a continuation
sp1024_12x560_share6_continue120	lab_sp1024_12x560_kv2_share6_continue120_m4	local	kept	2.4542	2.45636427	0.00216427	first continuation on the width-up branch clearly beat the smaller shared-depth branch
sp1024_12x560_share6_continue80_lowlr	lab_sp1024_12x560_kv2_share6_continue80_lowlr_m4	local	kept	2.3384	2.34223107	0.00383107	second continuation on the width-up branch became the first shared-depth point to beat the old 10x560 local anchor
sp1024_12x560_share6_continue80_ultralowlr	lab_sp1024_12x560_kv2_share6_continue80_ultralowlr_m4	local	kept	2.2596	2.26380402	0.00420402	new best local autoresearch point; the shared-depth branch is now the leading local line and still uses the same legal exporter
sp1024_12x560_share6_continue80_nanotail	lab_sp1024_12x560_kv2_share6_continue80_nanotail_m4	local	kept	2.2146	2.21983179	0.00523179	material keep; the same shared-depth exporter stayed best and the branch kept descending
sp1024_12x560_share6_continue80_picotail	lab_sp1024_12x560_kv2_share6_continue80_picotail_m4	local	kept	2.1901	2.19618733	0.00608733	new best local autoresearch point; targeted frontier check kept proj_top6_attn_top6_fp16 on top
sp1024_12x560_share6_continue80_femtotail	lab_sp1024_12x560_kv2_share6_continue80_femtotail_m4	local	kept	2.1790	2.18650489	0.00750489	final bounded femtotail still produced a real keep; exporter stayed fixed, so the next highest-EV move is structural rather than another identical tail
sp1024_12x576_share6_boot_from_12x560_femtotail_continue120	lab_sp1024_12x576_kv2_share6_boot_from_12x560_femtotail_continue120_m4	local	supported	2.2354	2.24015150	0.00475150	width-up boot started behind the femtotail anchor but adapted quickly enough to justify one more bounded continuation
sp1024_12x576_share6_continue80_lowlr	lab_sp1024_12x576_kv2_share6_continue80_lowlr_m4	local	kept	2.1714	2.17698679	0.00558679	first low-LR follow-up on the widened branch became the new local winner; targeted frontier check kept proj_top6_attn_top6_fp16 on top
sp1024_12x576_share6_continue80_ultralowlr	lab_sp1024_12x576_kv2_share6_continue80_ultralowlr_m4	local	kept	2.1378	2.14541721	0.00761721	second low-LR follow-up on the widened branch improved again and is now the strongest measured local model
u6k_12x608_exactcopy_gate	debug_u6k_12x608_transplant_eval0_exactcopy	local	discarded	2.1992	2.19966345	0.00046345	larger unigram saved more tokens than u5k but still started from a worse gate, so just increasing vocab again is not the next winner
b4k_12x608_exactcopy_gate	debug_b4k_12x608_transplant_eval0_exactcopy	local	discarded	2.7376	2.73211769	-0.00548231	sideways 4k BPE had slightly worse token counts than u4k and a clearly bad gate, so this branch is killed
u5k_12x608_seq896_continue40	lab_u5k_12x608_kv2_transplant_seq896_continue40_exactcopy	local	kept	2.1087	2.10282311	-0.00587689	first token-flow retune on the alive u5k checkpoint bought a small real keep, so the next local lever remains on this branch rather than another raw tokenizer family
autoresearch_001_lfqat80_crossskip40	autoresearch_001_lfqat80_crossskip40_m4	local	discarded	1.9934	1.98758096	-0.00581904	LFQAT continuation (kl=0.015 fisher=0.003 compress=0.0008 lr=0.0003 80steps) destabilized clean and shipped; revert
autoresearch_002_ultralow80_crossskip40	autoresearch_002_ultralow80_crossskip40_m4	local	discarded	1.9950	1.98871335	-0.00628665	ultra-low LR continuation (embed=0.00015 matrix=0.0001 80steps no LFQAT) also destabilized; this donor has no continuation headroom
autoresearch_003_bigbatch80_crossskip40	autoresearch_003_bigbatch80_crossskip40_m4	local	kept	1.9654	1.96718240	0.00178240	2x batch (grad_accum=2 batch=16384 cosine LR=0.0007 80steps) large shipped gain; new best local U4K anchor
autoresearch_004_bigbatch_continue80	autoresearch_004_bigbatch_continue80_m4	local	discarded	1.9674	1.96759168	0.00019168	continuation from 003 with same cosine LR was flat; cosine schedule too aggressive for second pass
autoresearch_005_lowlr_continue80	autoresearch_005_lowlr_continue80_m4	local	discarded	1.9738	1.97220691	-0.00159309	low constant LR continuation (matrix=0.00035 80steps 2x batch) regressed; 003 winner checkpoint resists all continuations
autoresearch_006_4xbatch80_crossskip40	autoresearch_006_4xbatch80_crossskip40_m4	local	kept	1.9490	1.95617569	0.00717569	4x batch (grad_accum=4 batch=32768 cosine LR=0.0007 80steps) new best despite mid-run instability; batch scaling continues to pay off
